country,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,2021_gdp,2022_gdp
Russia,1520225,1911240,2514920,2897459,1465742,1912794,2653688,2755384,2649181,2333067,1282740,1239680,1448700,1606676,1567809,1433956,1483444,629923
SaudiArabia,407000,399300,403600,400000,390000,450000,460000,540000,570000,632700,672300,549400,424216,340218,460373,387709,475837,519485
Senegal,3000,3000,3000,3000,4000,4000,3500,4000,4000,4500,3700,4400,3773,3558,3320,0,0,0
Serbia,21603,25610,32772,36177,30000,28951,22181,22800,23000,23900,21700,23300,22090,24006,25514,0,0,0
Singapore,109167,116849,110814,100979,73183,47273,33493,32724,27955,32807,61512,91096,94692,81625,76476,0,0,0
Slovakia,56916,59084,59700,70040,74717,64033,68203,69268,65998,72237,77968,88165,96105,98080,101568,76305,75700,78841
Slovenia,59324,59578,68719,71575,57967,61142,60193,50091,52268,53296,59450,63674,62522,65115,70904,0,0,0
SouthAfrica,419868,481558,434653,329262,258129,337130,396292,440002,450561,439264,412670,361289,361289,365242,355378,247571,304340,363696
SouthKorea,893159,932650,1010790,1017595,1221118,1237482,1293501,1256403,1243868,1359834,1533670,1533813,1526660,1525150,1497035,1618333,1468873,1420486
Spain,1528877,1634608,1614835,1161176,952772,982015,808051,699589,722689,890125,1094077,1147007,1234932,1321438,1258249,851213,859476,813374
SriLanka,2600,2800,2900,3000,3000,2000,7000,8000,10000,13800,12500,26300,11796,10981,8100,0,0,0
Sudan,2000,2000,2500,3000,7000,2000,2000,2000,1500,1800,2200,0,1450,1140,996,0,0,0
Sweden,274301,282766,306794,253982,213408,289684,304984,279899,269599,303948,345108,372318,379393,353729,356036,292024,301006,288087
Switzerland,266770,269421,284674,288525,266018,294239,318958,328139,307885,301942,323783,317318,311996,299135,311466,236828,238481,226006
Syria,32985,45467,36000,42000,46000,78147,33160,36300,35500,33400,33400,33400,4500,6996,11428,0,0,0
Taiwan,325840,218610,213327,141161,187262,208300,235205,211578,211824,235480,212236,206092,399885,389328,159492,191337,382000,375841
Tajikistan,5300,5700,5800,6000,7000,6500,7500,6000,6000,6100,6100,1900,2000,2200,2200,0,0,0
Tanzania,2000,2000,2000,2000,2000,2000,3000,3000,3500,1000,2600,2300,938,998,675,0,0,0
Thailand,178291,184544,172321,226805,230037,346644,360441,660214,631225,369826,356063,328053,665871,729709,468638,343494,312200,343349
Tr.&Tobago,10000,10000,5000,10000,10000,10000,10000,8000,8000,6300,10500,13900,9840,9712,10707,0,0,0
Tunisia,25000,30000,30000,33000,35000,45000,35000,37000,35000,37100,36100,36400,45886,35343,34387,0,0,0
Turkey,438597,373219,357465,305998,369819,509784,593519,556280,664655,587331,725596,756938,722759,486321,387256,610109,561853,592660
Turkmenistan,3900,4200,4300,4500,4500,4500,5000,4500,4500,4600,4600,4500,4800,5100,5225,0,0,0
UAEmirates,137000,150000,135000,191544,90238,136979,193268,211500,206700,206700,214000,166400,0,0,198520,129901,156780,171414
Uganda,3000,3500,3000,3000,3000,3000,3000,3000,3000,3000,2200,2900,721,770,832,0,0,0
UK,2439717,2344864,2404007,2131795,1994999,2030846,1941253,2044609,2264737,2476435,2633503,2692786,2540617,2367147,2311140,1631064,1647181,1614063
Ukraine,258395,361549,500357,599985,170085,169540,207453,237602,213322,97020,46546,65562,82330,81877,88437,85450,103262,37891
Uruguay,10000,10000,12000,15000,30000,40000,38308,38109,41785,40171,39472,35924,41549,34377,30063,0,0,0
USA,7659983,7761592,7562334,6769107,5400890,5635432,6089403,7241900,7585341,7749432,7516826,6872729,6080229,5303580,4719710,3401838,3350050,2858575
Uzbekistan,28500,31100,31700,43000,45000,43500,48000,45000,45500,46000,46000,43900,46000,47500,147827,146250,138377,153750
Venezuela,128601,184108,267932,135882,67047,68210,65339,60776,43887,10400,7700,3200,2500,1159,3000,0,0,0
Vietnam,24888,23335,40115,50877,62722,57778,64564,44070,59857,79813,117288,159501,152799,197752,229539,215908,207693,283352
Yemen,4000,4700,4800,5000,5000,2000,2000,2000,2000,2500,2300,1100,828,552,552,0,0,0
Zambia,2300,2700,2800,2600,3000,2000,2000,2000,2000,2000,1700,2300,848,1118,1094,0,0,0
Zimbabwe,7000,6000,3000,3000,3000,2000,3000,3000,3000,4100,1500,1300,1094,906,532,0,0,0
